# Tabla maestra de emisores de ONs — ON Radar
# Generado por build_issuer_master.py
# prefijo,cuit_emisor,razon_social,sector,fuente
prefijo,cuit_emisor,razon_social,sector,fuente
VWCD,30682419578,VOLKSWAGEN FINANCIAL SERVICES COMPAÑIA FINANCIERA SA,,afip_oficial
VWCE,30682419578,VOLKSWAGEN FINANCIAL SERVICES COMPA?IA FINANCIERA SA,,afip_oficial
WBS,30516420444,BANCO MARIVA S.A.,,afip_oficial
WI,30715980246,WIN S.A.S.,,afip_oficial
WNCN,30642617555,NEW SAN SA,,afip_oficial
XMC,30709667587,Minera Exar S.A.,Minería - Litio,manual_confirmado
YF,30714128309,YPF Energía Eléctrica S.A.,Energía - Electricidad,afip_oficial
YFC,30714128309,YPF Energía Eléctrica S.A.,Energía - Electricidad,afip_oficial
YFCD,30714128309,YPF ENERGIA ELECTRICA S.A.,,afip_oficial
YFCF,30714128309,YPF ENERGIA ELECTRICA S.A.,,afip_oficial
YFCH,30714128309,YPF ENERGIA ELECTRICA S.A.,,afip_oficial
YIS,30715744941,YACOPINI MIRAI S.A.,,afip_oficial
YM,30546689979,YPF S.A.,Energía - Petróleo y Gas,afip_oficial
YMC,30546689979,YPF S.A.,Energía - Petróleo y Gas,afip_oficial
YMCT,30546689979,YPF S.A.,,afip_oficial
YMCW,30546689979,YPF S.A.,,afip_oficial
YSS,30707174702,C&C MEDICAL S S.A.,,afip_oficial
ZF,30592486268,ZAFRA S.A.,,afip_oficial
ZF3,30592486268,Zafra S.A.,Agro,afip_oficial
ZI,30715999141,SPAZIOS INMUEBLES S.A.,,afip_oficial
ZPC,30655942382,PLAZA LOGISTICA S.R.L.,,afip_oficial
ZUS,33712110959,ZUAMAR S.A.,,afip_oficial
