symbol,issuer,rating_lp,rating_bucket,sector,currency,price,ytm,macaulay_duration,modified_duration,current_yield,volume,liquidity_score,peer_count,peer_avg_ytm,peer_std_ytm,spread_vs_peers,spread_bps,percentile,rv_score,peer_group,peer_unique_issuers,peer_same_issuer_count,peer_same_issuer_ratio,signal_type,theoretical_price,upside_pct,carry_advantage_pct,is_outlier,maturity_date,n_cashflows,cashflow_confidence
LMS7O,BLM DESARROLLOS SA,,Unrated,,USD,79.01,0.0297,1.0879,1.072,0.066827,11775686.6,89.17,4.0,0.052685,0.007099,-0.022985,-229.9,0.0,-3.238,USD/Unrated/dur±1.5y,3.0,0.0,0.0,cross_credit,77.0632,-2.46,-2.5,False,2028-10-12,9,mae
LMS8O,BLM DESARROLLOS SA,,Unrated,,USD,80.75,-0.131508,0.32,0.3425,0.057957,0.0,50.16,,,,,,,,,,,,,,,,True,2027-03-21,3,mae
MGCMO,Pampa Energía S.A.,AAA(arg),AAA,Energía - Electricidad,USD,112.4,0.059277,4.1478,4.0284,0.070819,240470500.0,94.54,13.0,0.059568,0.004089,-0.000291,-2.9,53.8,-0.071,USD/AAA/dur±1.5y,6.0,0.0,0.0,cross_credit,112.2683,-0.12,-0.12,False,2031-09-10,11,mae
MGCNO,Pampa Energía S.A.,AAA(arg),AAA,Energía - Electricidad,USD,104.7,0.04528,1.9728,1.9291,0.055014,5007243.2,88.25,23.0,0.047807,0.010229,-0.002527,-25.3,30.4,-0.247,USD/AAA/dur±1.5y,8.0,1.0,0.043,cross_credit,104.1895,-0.49,-0.5,False,2028-10-04,5,mae
MGCOO,Pampa Energía S.A.,AAA(arg),AAA,Energía - Electricidad,USD,109.2,0.066639,6.2489,6.0474,0.072344,689942000.0,97.83,33.0,0.051465,0.010651,0.015174,151.7,100.0,1.425,USD/AAA,8.0,3.0,0.091,cross_credit,119.2205,9.18,9.48,False,2034-12-16,17,mae
MGCQO,Pampa Energía S.A.,AAA(arg),AAA,Energía - Electricidad,USD,106.6,0.039057,1.8462,1.8108,0.068011,74114671.4,97.01,22.0,0.04768,0.010118,-0.008623,-86.2,13.6,-0.852,USD/AAA/dur±1.5y,8.0,1.0,0.045,cross_credit,104.9355,-1.56,-1.59,False,2028-08-06,4,confirmed
MSSFO,MSU S.A.,A+(arg),A,Energía,USD,101.9,0.059731,0.7594,0.7374,0.073602,24825.4,77.98,3.0,0.072949,0.005416,-0.013218,-132.2,0.0,-2.441,USD/A/dur±1.5y,3.0,0.0,0.0,cross_credit,100.9068,-0.97,-1.0,False,2027-07-23,4,confirmed
OTS2O,[OTS],,Unrated,Sin mapear,USD,102.0,0.049229,0.6448,0.6293,0.06902,773850.0,81.37,4.0,0.047803,0.013811,0.001426,14.3,50.0,0.103,USD/Unrated/dur±1.5y,4.0,1.0,0.25,cross_credit,102.0915,0.09,0.09,False,2027-04-24,3,mae
OTS3O,[OTS],,Unrated,Sin mapear,USD,103.0,0.05802,2.0367,1.9793,0.06835,1518434.4,78.98,5.0,0.048193,0.012088,0.009827,98.3,60.0,0.813,USD/Unrated/dur±1.5y,4.0,1.0,0.2,cross_credit,105.0035,1.95,2.0,False,2028-11-01,9,mae
OZC3O,EMPRESA DISTRIB DE ELECTRICIDAD DE MENDOZA S.A.,A+(arg),A,,USD,103.45,0.067145,1.201,1.162,0.077332,108710906.3,97.42,3.0,0.070478,0.009523,-0.003333,-33.3,33.3,-0.35,USD/A/dur±1.5y,3.0,0.0,0.0,cross_credit,103.0494,-0.39,-0.4,False,2027-11-29,3,confirmed
PLC1O,Pluspetrol S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,103.4,0.049701,1.355,1.3222,0.058221,22811709.4,96.14,20.0,0.046087,0.010112,0.003614,36.1,55.0,0.357,USD/AAA/dur±1.5y,8.0,1.0,0.05,cross_credit,103.8941,0.48,0.49,False,2028-01-27,4,mae
PLC2O,Pluspetrol S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,107.35,0.05915,3.0187,2.932,0.070051,29402258.9,92.97,18.0,0.054195,0.006148,0.004955,49.6,72.2,0.806,USD/AAA/dur±1.5y,8.0,1.0,0.056,cross_credit,108.9097,1.45,1.5,False,2030-01-27,8,mae
PLC3O,Pluspetrol S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,103.9,0.047651,1.592,1.5549,0.057748,34485418.7,92.54,22.0,0.047289,0.010283,0.000362,3.6,40.9,0.035,USD/AAA/dur±1.5y,8.0,2.0,0.091,cross_credit,103.9585,0.06,0.06,False,2028-04-30,4,estimated
PLC4O,Pluspetrol S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,110.8,0.066396,4.6408,4.4917,0.076715,431329900.0,97.73,9.0,0.060438,0.002825,0.005958,59.6,100.0,2.109,USD/AAA/dur±1.5y,5.0,0.0,0.0,cross_credit,113.7652,2.68,2.77,False,2032-05-30,12,confirmed
PN34O,Pan American Energy LLC (PAE Sucursal),AAA(arg),AAA,Energía - Petróleo y Gas,USD,102.95,0.041456,1.0489,1.0276,0.048762,3561129.4,84.71,17.0,0.045503,0.010628,-0.004047,-40.5,29.4,-0.381,USD/AAA/dur±1.5y,8.0,1.0,0.059,cross_credit,102.5219,-0.42,-0.42,False,2027-09-27,3,mae
PN35O,Pan American Energy LLC (PAE Sucursal),AAA(arg),AAA,Energía - Petróleo y Gas,USD,107.85,0.052369,2.7618,2.6914,0.064905,903669961.7,98.83,20.0,0.052484,0.007607,-0.000115,-1.1,45.0,-0.015,USD/AAA/dur±1.5y,8.0,2.0,0.1,cross_credit,107.8166,-0.03,-0.03,False,2029-09-27,7,mae
PN36O,Pan American Energy LLC (PAE Sucursal),AAA(arg),AAA,Energía - Petróleo y Gas,USD,108.0,0.059162,4.377,4.2513,0.067593,4583196.7,92.1,10.0,0.061033,0.003263,-0.001871,-18.7,30.0,-0.573,USD/AAA/dur±1.5y,6.0,1.0,0.1,cross_credit,107.1412,-0.8,-0.82,False,2031-11-13,11,mae
