symbol,issuer,rating_lp,rating_bucket,sector,currency,price,ytm,macaulay_duration,rv_score,spread_bps,peer_count,peer_unique_issuers,peer_same_issuer_ratio,signal_type,theoretical_price,upside_pct,carry_advantage_pct,cashflow_confidence,structure_type,n_cashflows,cashflow_quality_score,signal_confidence_score,execution_score,liquidity_percentile,market_quality_score,days_stale,spread_bps_current,primary_species,tir_dispersion_bp,has_desarbitraje,signal_category,signal_label,alerts,alert_count,is_outlier,maturity_date
PN37O,Pan American Energy LLC (PAE Sucursal),AAA(arg),AAA,Energía - Petróleo y Gas,USD,103.7,0.049359,2.2356,0.2,15.7,23.0,8.0,0.13,cross_credit,104.0553,0.34,0.35,mae,bullet,5,73.0,76.5,56.0,15.3,75.3,0.0,115.27000000000001,MEP,0.0,False,NEUTRO,,,0,False,2028-11-13
PNRCO,Pan American Energy LLC (PAE Sucursal),AAA(arg),AAA,Energía - Petróleo y Gas,USD,92.2536,0.049847,2.0887,0.363,34.4,25.0,8.0,0.12,cross_credit,92.9002,0.7,0.72,mae,bullet,9,79.4,79.7,31.5,9.7,59.7,0.0,1173.08,ARS/CCL,0.0,False,NEUTRO,,,0,False,2028-08-07
PNXCO,Pan American Energy LLC (PAE Sucursal),AAA(arg),AAA,Energía - Petróleo y Gas,USD,112.3,0.058602,4.0664,-0.014,-0.8,14.0,7.0,0.143,cross_credit,112.2645,-0.03,-0.03,mae,amortizing,12,82.2,81.1,70.9,61.1,80.6,0.0,68.69,MEP,66.5,False,NEUTRO,,,0,False,2032-04-30
PQCSO,Petroquímica Comodoro Rivadavia S.A.,AA(arg),AA,Industria - Petroquímica,USD,105.3,0.073656,3.872,0.438,162.7,3.0,2.0,0.0,cross_credit,111.6966,6.07,6.3,confirmed,bullet,10,96.0,75.5,71.9,62.5,89.4,0.0,187.24,MEP,7.6,False,NEUTRO,,,0,False,2031-02-17
RC2CO,ARCOR S.A.I.C.,AAA(arg),AAA,,USD,102.95,0.0,0.274,,,,,,,,,,confirmed,bullet,1,81.6,48.3,50.7,11.1,64.9,0.0,164.6,MEP,0.0,False,NEUTRO,,,0,True,2026-10-06
SNAAO,S.A. SAN MIGUEL,,Unrated,Agro - Frutícola,USD,82.0068,4.81781,0.0849,,,,,,,,,,mae,bullet,1,66.6,40.8,38.5,23.6,73.9,0.0,807.69,ARS/CCL,0.0,False,NEUTRO,,,0,True,2026-07-29
SNABO,S.A. San Miguel,,Unrated,Agro - Frutícola,USD,71.2,14.831909,0.0849,,,,,,,,,,mae,bullet,1,66.6,40.8,43.7,8.3,42.2,0.0,2933.7,MEP,0.0,False,NEUTRO,,,0,True,2026-07-29
SNSBO,SION S.A.,,Unrated,,USD,81.0,1.118569,0.2888,,,,,,,,,,mae,bullet,2,68.2,41.6,44.4,54.2,72.0,0.0,318.59000000000003,MEP,0.0,False,NEUTRO,,,0,True,2026-10-14
TLCMO,Telecom Argentina S.A.,AA+(arg),AA,Telecomunicaciones,USD,116.3,0.06082,3.374,0.204,55.9,6.0,4.0,0.333,cross_credit,118.4297,1.83,1.89,mae,amortizing,11,80.6,80.3,90.8,81.9,91.3,0.0,33.36,MEP,89.7,False,NEUTRO,,,0,False,2031-07-18
TLCOO,Telecom Argentina S.A.,AA+(arg),AA,Telecomunicaciones,USD,103.65,0.056303,2.2605,0.339,172.8,10.0,5.0,0.2,cross_credit,107.5874,3.8,3.91,mae,bullet,5,73.0,76.5,84.5,76.4,86.3,0.0,27.02,MEP,0.0,False,NEUTRO,,,0,False,2028-11-28
