ticker,moneda,tipo_liquidacion,precio_compra,precio_venta,spread_abs,spread_pct,monto_operado,years_to_maturity,liquidity_score,spread_cuartil
CLI1O,ARS,2,50500.0,80000.0,29500.0,58.4158,10672552.4,8.2656,91.28,Q4_wide
CLSIO,ARS,2,41700.0,68650.0,26950.0,64.6283,1053669.8,0.8898,88.24,Q4_wide
RC3CO,ARS,2,105.0,175.0,70.0,66.6667,100311.11,0.2793,84.99,Q4_wide
CLSIC,EXT,1,25.2,47.997,22.797,90.4643,0.0,0.8898,52.94,Q4_wide
PECLO,ARS,2,44.0,95.0,51.0,115.9091,0.0,5.974,52.92,Q4_wide
YMCIO,ARS,2,1445.5,168000.0,166554.5,11522.276,102189745.4,2.8255,95.24,Q4_wide
VSCUO,ARS,1,152.4,175900.0,175747.6,115319.9475,574070.0,3.5044,85.35,Q4_wide
RC4CO,ARS,2,0.01,109.0,108.99,1089900.0,0.0,0.4764,52.87,Q4_wide
T661O,ARS,2,0.01,109.0,108.99,1089900.0,0.0,0.2382,52.87,Q4_wide
MIC3O,ARS,2,10.0,156000.0,155990.0,1559900.0,10118091.9,0.1862,91.13,Q4_wide
HJCKO,ARS,2,10.0,166000.0,165990.0,1659900.0,3180000.0,2.3682,86.92,Q4_wide
CICAO,ARS,2,1.0,159150.0,159149.0,15914900.0,80673249.3,1.7467,94.83,Q4_wide
PFC3O,ARS,2,1.0,160000.0,159999.0,15999900.0,4041839.9,3.1786,89.19,Q4_wide
LOC5O,ARS,1,1.0,169000.0,168999.0,16899900.0,1577000.0,0.8843,86.32,Q4_wide
LDCGO,ARS,2,0.25,162000.0,161999.75,64799900.0,4249786.6,1.0815,89.68,Q4_wide
LOC6O,ARS,2,0.1,160000.0,159999.9,159999900.0,14686700.3,2.3874,91.85,Q4_wide
CACDO,ARS,2,0.05,170000.0,169999.95,339999900.0,15533325.0,2.7488,90.2,Q4_wide
ZZC1O,ARS,2,0.01,159000.0,158999.99,1589999900.0,30630467.8,0.4654,93.5,Q4_wide
OZC3O,ARS,2,0.01,159450.0,159449.99,1594499900.0,27678683.2,1.2348,93.13,Q4_wide
TLCWO,ARS,2,0.01,161500.0,161499.99,1614999900.0,8148868.5,3.7317,90.69,Q4_wide
T641O,ARS,2,0.01,169500.0,169499.99,1694999900.0,0.0,0.6516,52.67,Q4_wide
