entidad,fecha,pais,area,sector,tipo,rating_cp,rating_lp,perspectiva,estado
Ciclo Nova Asset Management S.A.,2026-05-08,Argentina,Fondos,Fondos Cerrados,Fondo Común de Inversión Cerrado Inmo ...,,FI4(arg),Perspectiva Estable,Confirma
Ciclo Nova Asset Management S.A.,2026-01-27,Argentina,Fondos,Fondos Abiertos,IEB Renta Fija,,A-f(arg),N.C,Confirma
Ciclo Nova Asset Management S.A.,2026-01-27,Argentina,Fondos,Fondos Abiertos,IEB Multiestrategia III,,BBB+f(arg),N.C,Confirma
Ciclo Nova Asset Management S.A.,2026-01-27,Argentina,Fondos,Fondos Abiertos,Ieb Value,,A-c(arg),N.C,Confirma
Ciclo Nova Asset Management S.A.,2026-02-19,Argentina,Fondos,Fondos Abiertos,IEB Renta Fija Dolar,,AAAf(arg),N.C,Confirma
Ciclo Nova Asset Management S.A.,2026-03-11,Argentina,Fondos,Fondos Abiertos,IEB Ahorro,,AA+f(arg),N.C,Sube
Ciclo Nova Asset Management S.A.,2026-03-11,Argentina,Fondos,Fondos Abiertos,IEB Corto Plazo Dólar,,AA+f(arg),N.C,Sube
Ciclo Nova Asset Management S.A.,2026-05-14,Argentina,Fondos,Fondos Abiertos,IEB Multiestrategia,,AAf(arg),N.C,Sube
Ciclo Nova Asset Management S.A.,2026-05-14,Argentina,Fondos,Fondos Abiertos,IEB Multiestrategia V,,AA+f(arg),N.C,Sube
Ciclo Nova Asset Management S.A.,2026-05-20,Argentina,Fondos,Fondos Abiertos,IEB Fondo Común de Inversión Abierto ...,,A-f(arg),N.C,Confirma
Ciclo Nova Asset Management S.A.,2026-05-27,Argentina,Fondos,Fondos Abiertos,IEB Ahorro Plus,,Af(arg),N.C,Sube
Ciclo Nova Asset Management S.A.,2026-01-27,Argentina,Seguros,Administradora De Activos,IEB Estructurado,,A+f(arg),N.C,Confirma
Ciudad de Buenos Aires,2026-04-30,Argentina,Finanzas Públicas,Municipios,Emisor,A1+(arg),AAA(arg),Perspectiva Estable,Confirma
Ciudad de Buenos Aires,2026-04-30,Argentina,Finanzas Públicas,Municipios,PGR Eurobonos a MP,,AAA(arg),Perspectiva Estable,Sube
Ciudad de Buenos Aires,2026-04-30,Argentina,Finanzas Públicas,Municipios,Programa Letras del Tesoro Los títul ...,A1+(arg),,N.C,Confirma
Ciudad de Buenos Aires,2026-04-30,Argentina,Finanzas Públicas,Municipios,Programa Financiamiento Mercado Local ...,,AAA(arg),Perspectiva Estable,Sube
Ciudad de Buenos Aires,2026-04-30,Argentina,Finanzas Públicas,Municipios,TDP Clase N°23 ampliable hasta el equ ...,,AAA(arg),Perspectiva Estable,Sube
Clave Series I,2023-08-29,Argentina,Finanzas Estructuradas,Flujos Futuros De Fondos,VDF B,,B+sf(arg),Perspectiva Estable,Confirma
Cledinor S.A.,2026-01-28,Uruguay,Finanzas Corporativas,Agronegocio,Emisor,,A(uy),Perspectiva Estable,Confirma
Cledinor S.A.,2026-01-28,Uruguay,Finanzas Corporativas,Agronegocio,Obligaciones Negociables por hasta U ...,,A(uy),Perspectiva Estable,Confirma
Club River Plate,2026-04-21,Argentina,Finanzas Estructuradas,Flujos Futuros De Fondos,VDF,,A+sf(arg),Perspectiva Estable,Confirma
CMF Asset Management S.A.U.,2026-03-11,Argentina,Fondos,Fondos Abiertos,Fundcorp Liquidez,,AAf(arg),N.C,Confirma
CNH Industrial Capital Argentina S.A.,2026-05-06,Argentina,Entidades Financieras,Entidades Financieras,Endeudamiento de Largo Plazo,A1+(arg),AA(arg),Perspectiva Estable,Confirma
CNH Industrial Capital Argentina S.A.,2026-05-06,Argentina,Entidades Financieras,Entidades Financieras,Obligaciones Negociables Clase 7 por ...,,AA(arg),Perspectiva Estable,Confirma
CNH Industrial Capital Argentina S.A.,2026-05-06,Argentina,Entidades Financieras,Entidades Financieras,Obligaciones Negociables Clase 8 por ...,,AA(arg),Perspectiva Estable,Confirma
CNH Industrial Capital Argentina S.A.,2026-05-06,Argentina,Entidades Financieras,Entidades Financieras,Obligaciones Negociables Clase 9 por ...,,AA(arg),Perspectiva Estable,Confirma
CNH Industrial Capital Argentina S.A.,2026-05-06,Argentina,Entidades Financieras,Entidades Financieras,Obligaciones Negociables Clase 10 de ...,,AA(arg),Perspectiva Estable,Confirma
